cause_medium,year,age_name,sex,measure,nm_mean
Rheumatic heart disease,2010,45-49 years,Males,death,56.8552
Rheumatic heart disease,2010,50-54 years,Males,death,75.6592
Rheumatic heart disease,2010,55-59 years,Males,death,99.6675
Rheumatic heart disease,2010,60-64 years,Males,death,132.407
Rheumatic heart disease,2010,65-69 years,Males,death,152.166
Rheumatic heart disease,2010,70-74 years,Males,death,194.781
Rheumatic heart disease,2010,75-79 years,Males,death,275.965
Rheumatic heart disease,2010,80+ years,Males,death,1125.94
Rheumatic heart disease,2010,All ages,Males,death,2197.67
Rheumatic heart disease,2010,5-14 years,Males,death,2.13771
Rheumatic heart disease,2010,Under 5 years,Females,death,1.13311
Rheumatic heart disease,2010,15-19 years,Females,death,2.62914
Rheumatic heart disease,2010,20-24 years,Females,death,6.32377
Rheumatic heart disease,2010,25-29 years,Females,death,9.4451
Rheumatic heart disease,2010,30-34 years,Females,death,11.9071
Rheumatic heart disease,2010,35-39 years,Females,death,19.0872
Rheumatic heart disease,2010,40-44 years,Females,death,39.7489
Rheumatic heart disease,2010,45-49 years,Females,death,66.4178
Rheumatic heart disease,2010,50-54 years,Females,death,87.7721
Rheumatic heart disease,2010,55-59 years,Females,death,130.691
Rheumatic heart disease,2010,60-64 years,Females,death,198.942
Rheumatic heart disease,2010,65-69 years,Females,death,240.22
Rheumatic heart disease,2010,70-74 years,Females,death,344.367
Rheumatic heart disease,2010,75-79 years,Females,death,477.853
Rheumatic heart disease,2010,80+ years,Females,death,3036.79
Rheumatic heart disease,2010,All ages,Females,death,4675.33
Rheumatic heart disease,2010,5-14 years,Females,death,2.00803
Ischemic heart disease,2010,Under 5 years,Males,death,78.3726
Ischemic heart disease,2010,15-19 years,Males,death,89.2049
Ischemic heart disease,2010,20-24 years,Males,death,181.092
Ischemic heart disease,2010,25-29 years,Males,death,331.535
Ischemic heart disease,2010,30-34 years,Males,death,638.509
Ischemic heart disease,2010,35-39 years,Males,death,1365.57
Ischemic heart disease,2010,40-44 years,Males,death,3421.43
Ischemic heart disease,2010,45-49 years,Males,death,7377.23
Ischemic heart disease,2010,50-54 years,Males,death,12928.6
Ischemic heart disease,2010,55-59 years,Males,death,17015
Ischemic heart disease,2010,60-64 years,Males,death,22533
Ischemic heart disease,2010,65-69 years,Males,death,23723.5
Ischemic heart disease,2010,70-74 years,Males,death,27125.6
Ischemic heart disease,2010,75-79 years,Males,death,33542.6
Ischemic heart disease,2010,80+ years,Males,death,127113
Ischemic heart disease,2010,All ages,Males,death,277510
Ischemic heart disease,2010,5-14 years,Males,death,45.1253
Ischemic heart disease,2010,Under 5 years,Females,death,61.2144
Ischemic heart disease,2010,15-19 years,Females,death,40.2646
Ischemic heart disease,2010,20-24 years,Females,death,75.2132
Ischemic heart disease,2010,25-29 years,Females,death,128.06
Ischemic heart disease,2010,30-34 years,Females,death,244.036
Ischemic heart disease,2010,35-39 years,Females,death,532.897
Ischemic heart disease,2010,40-44 years,Females,death,1262.48
Ischemic heart disease,2010,45-49 years,Females,death,2579.98
Ischemic heart disease,2010,50-54 years,Females,death,4399.79
Ischemic heart disease,2010,55-59 years,Females,death,6617.91
Ischemic heart disease,2010,60-64 years,Females,death,10342.8
Ischemic heart disease,2010,65-69 years,Females,death,12925.9
Ischemic heart disease,2010,70-74 years,Females,death,17754.6
Ischemic heart disease,2010,75-79 years,Females,death,26895.2
Ischemic heart disease,2010,80+ years,Females,death,201486
Ischemic heart disease,2010,All ages,Females,death,285377
Ischemic heart disease,2010,5-14 years,Females,death,30.7429
Stroke,2010,Under 5 years,Males,death,98.1626
Stroke,2010,15-19 years,Males,death,43.5608
Stroke,2010,20-24 years,Males,death,82.9442
Stroke,2010,25-29 years,Males,death,112.579
Stroke,2010,30-34 years,Males,death,177.429
Stroke,2010,35-39 years,Males,death,323.626
Stroke,2010,40-44 years,Males,death,662.945
Stroke,2010,45-49 years,Males,death,1281.53
Stroke,2010,50-54 years,Males,death,2044
Stroke,2010,55-59 years,Males,death,2575.65
Stroke,2010,60-64 years,Males,death,3577.17
Stroke,2010,65-69 years,Males,death,4275.15
Stroke,2010,70-74 years,Males,death,5753.33
Stroke,2010,75-79 years,Males,death,8384.8
Stroke,2010,80+ years,Males,death,36357.1
Stroke,2010,All ages,Males,death,65791.6
Stroke,2010,5-14 years,Males,death,41.6649
Stroke,2010,Under 5 years,Females,death,74.9866
Stroke,2010,15-19 years,Females,death,35.0611
Stroke,2010,20-24 years,Females,death,60.2896
Stroke,2010,25-29 years,Females,death,92.8211
Stroke,2010,30-34 years,Females,death,161.567
Stroke,2010,35-39 years,Females,death,306.073
Stroke,2010,40-44 years,Females,death,650.052
Stroke,2010,45-49 years,Females,death,1183.04
Stroke,2010,50-54 years,Females,death,1692.35
Stroke,2010,55-59 years,Females,death,2103.11
Stroke,2010,60-64 years,Females,death,3029.69
Stroke,2010,65-69 years,Females,death,3898.92
Stroke,2010,70-74 years,Females,death,5853.95
Stroke,2010,75-79 years,Females,death,9878.17
Stroke,2010,80+ years,Females,death,77470.5
Stroke,2010,All ages,Females,death,106528
Stroke,2010,5-14 years,Females,death,37.3259
Ischemic stroke,2010,Under 5 years,Males,death,42.1475
Ischemic stroke,2010,15-19 years,Males,death,8.59294
Ischemic stroke,2010,20-24 years,Males,death,13.7227
Ischemic stroke,2010,25-29 years,Males,death,17.2437
Ischemic stroke,2010,30-34 years,Males,death,27.9532
Ischemic stroke,2010,35-39 years,Males,death,48.0274
Ischemic stroke,2010,40-44 years,Males,death,101.964
Ischemic stroke,2010,45-49 years,Males,death,219.393
Ischemic stroke,2010,50-54 years,Males,death,395.848
Ischemic stroke,2010,55-59 years,Males,death,654.459
Ischemic stroke,2010,60-64 years,Males,death,1332.53
Ischemic stroke,2010,65-69 years,Males,death,1845.25
Ischemic stroke,2010,70-74 years,Males,death,3144.51
Ischemic stroke,2010,75-79 years,Males,death,6071.95
Ischemic stroke,2010,80+ years,Males,death,31186.7
Ischemic stroke,2010,All ages,Males,death,45122.9
Ischemic stroke,2010,5-14 years,Males,death,12.5538
Ischemic stroke,2010,Under 5 years,Females,death,35.3175
Ischemic stroke,2010,15-19 years,Females,death,6.96621
Ischemic stroke,2010,20-24 years,Females,death,10.5891
Ischemic stroke,2010,25-29 years,Females,death,14.787
Ischemic stroke,2010,30-34 years,Females,death,22.7512
Ischemic stroke,2010,35-39 years,Females,death,39.6006
Ischemic stroke,2010,40-44 years,Females,death,79.1702
Ischemic stroke,2010,45-49 years,Females,death,146.326
Ischemic stroke,2010,50-54 years,Females,death,259.573
Ischemic stroke,2010,55-59 years,Females,death,407.575
Ischemic stroke,2010,60-64 years,Females,death,892.783
Ischemic stroke,2010,65-69 years,Females,death,1571.99
Ischemic stroke,2010,70-74 years,Females,death,2699.11
Ischemic stroke,2010,75-79 years,Females,death,7160.24
Ischemic stroke,2010,80+ years,Females,death,66981.4
Ischemic stroke,2010,All ages,Females,death,80338.5
Ischemic stroke,2010,5-14 years,Females,death,10.3644
Hemorrhagic stroke,2010,Under 5 years,Males,death,56.0152
Hemorrhagic stroke,2010,15-19 years,Males,death,34.9679
Hemorrhagic stroke,2010,20-24 years,Males,death,69.2215
Hemorrhagic stroke,2010,25-29 years,Males,death,95.3355
